accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR12538583	SRP279131	new	PRJNA659851	SAMN15928637	S0106	BGT_GA03_GP13_076	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0106.R1.fastq.gz	S0106.R2.fastq.gz				
SRR12538582	SRP279131	new	PRJNA659851	SAMN15928638	S0107	BGT_GA03_GP13_077	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0107.R1.fastq.gz	S0107.R2.fastq.gz				
SRR12538581	SRP279131	new	PRJNA659851	SAMN15928639	S0108	BGT_GA03_GP13_078	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0108.R1.fastq.gz	S0108.R2.fastq.gz				
SRR12538580	SRP279131	new	PRJNA659851	SAMN15928640	S0109	BGT_GA03_GP13_079	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0109.R1.fastq.gz	S0109.R2.fastq.gz				
SRR12538579	SRP279131	new	PRJNA659851	SAMN15928641	S0110	BGT_GA03_GP13_080	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0110.R1.fastq.gz	S0110.R2.fastq.gz				
SRR12538481	SRP279131	new	PRJNA659851	SAMN15928642	S0112	BGT_GA03_GP13_081	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0112.R1.fastq.gz	S0112.R2.fastq.gz				
SRR12538479	SRP279131	new	PRJNA659851	SAMN15928643	S0115	BGT_GA03_GP13_082	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0115.R1.fastq.gz	S0115.R2.fastq.gz				
SRR12538478	SRP279131	new	PRJNA659851	SAMN15928644	S0116	BGT_GA03_GP13_083	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0116.R1.fastq.gz	S0116.R2.fastq.gz				
SRR12538477	SRP279131	new	PRJNA659851	SAMN15928645	S0117	BGT_GA03_GP13_084	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0117.R1.fastq.gz	S0117.R2.fastq.gz				
SRR12538476	SRP279131	new	PRJNA659851	SAMN15928646	S0118	BGT_GA03_GP13_085	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0118.R1.fastq.gz	S0118.R2.fastq.gz				
SRR12538475	SRP279131	new	PRJNA659851	SAMN15928647	S0119	BGT_GA03_GP13_086	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0119.R1.fastq.gz	S0119.R2.fastq.gz				
SRR12538474	SRP279131	new	PRJNA659851	SAMN15928648	S0120	BGT_GA03_GP13_087	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0120.R1.fastq.gz	S0120.R2.fastq.gz				
SRR12538473	SRP279131	new	PRJNA659851	SAMN15928649	S0122	BGT_GA03_GP13_088	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0122.R1.fastq.gz	S0122.R2.fastq.gz				
SRR12538472	SRP279131	new	PRJNA659851	SAMN15928650	S0124	BGT_GA03_GP13_089	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0124.R1.fastq.gz	S0124.R2.fastq.gz				
SRR12538471	SRP279131	new	PRJNA659851	SAMN15928651	S0125	BGT_GA03_GP13_090	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0125.R1.fastq.gz	S0125.R2.fastq.gz				
SRR12538469	SRP279131	new	PRJNA659851	SAMN15928652	S0128	BGT_GA03_GP13_091	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0128.R1.fastq.gz	S0128.R2.fastq.gz				
SRR12538468	SRP279131	new	PRJNA659851	SAMN15928653	S0129	BGT_GA03_GP13_092	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0129.R1.fastq.gz	S0129.R2.fastq.gz				
SRR12538467	SRP279131	new	PRJNA659851	SAMN15928654	S0130	BGT_GA03_GP13_093	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0130.R1.fastq.gz	S0130.R2.fastq.gz				
SRR12538466	SRP279131	new	PRJNA659851	SAMN15928655	S0131	BGT_GA03_GP13_094	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0131.R1.fastq.gz	S0131.R2.fastq.gz				
SRR12538465	SRP279131	new	PRJNA659851	SAMN15928656	S0132	BGT_GA03_GP13_095	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0132.R1.fastq.gz	S0132.R2.fastq.gz				
SRR12538464	SRP279131	new	PRJNA659851	SAMN15928657	S0133	BGT_GA03_GP13_096	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0133.R1.fastq.gz	S0133.R2.fastq.gz				
SRR12538463	SRP279131	new	PRJNA659851	SAMN15928658	S0134	BGT_GA03_GP13_097	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0134.R1.fastq.gz	S0134.R2.fastq.gz				
SRR12538462	SRP279131	new	PRJNA659851	SAMN15928659	S0135	BGT_GA03_GP13_098	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0135.R1.fastq.gz	S0135.R2.fastq.gz				
SRR12538461	SRP279131	new	PRJNA659851	SAMN15928660	S0136	BGT_GA03_GP13_099	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0136.R1.fastq.gz	S0136.R2.fastq.gz				
SRR12538460	SRP279131	new	PRJNA659851	SAMN15928661	S0137	BGT_GA03_GP13_100	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0137.R1.fastq.gz	S0137.R2.fastq.gz				
SRR12538714	SRP279131	new	PRJNA659851	SAMN15928662	S0138	BGT_GA03_GP13_101	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0138.R1.fastq.gz	S0138.R2.fastq.gz				
SRR12538712	SRP279131	new	PRJNA659851	SAMN15928663	S0139	BGT_GA03_GP13_102	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0139.R1.fastq.gz	S0139.R2.fastq.gz				
SRR12538711	SRP279131	new	PRJNA659851	SAMN15928664	S0140	BGT_GA03_GP13_103	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0140.R1.fastq.gz	S0140.R2.fastq.gz				
SRR12538710	SRP279131	new	PRJNA659851	SAMN15928665	S0141	BGT_GA03_GP13_104	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0141.R1.fastq.gz	S0141.R2.fastq.gz				
SRR12538709	SRP279131	new	PRJNA659851	SAMN15928666	S0142	BGT_GA03_GP13_105	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0142.R1.fastq.gz	S0142.R2.fastq.gz				
SRR12538708	SRP279131	new	PRJNA659851	SAMN15928667	S0143	BGT_GA03_GP13_106	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0143.R1.fastq.gz	S0143.R2.fastq.gz				
SRR12538707	SRP279131	new	PRJNA659851	SAMN15928668	S0144	BGT_GA03_GP13_107	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0144.R1.fastq.gz	S0144.R2.fastq.gz				
SRR12538706	SRP279131	new	PRJNA659851	SAMN15928669	S0145	BGT_GA03_GP13_108	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0145.R1.fastq.gz	S0145.R2.fastq.gz				
SRR12538705	SRP279131	new	PRJNA659851	SAMN15928670	S0231	BGT_GA03_GP13_109	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0231.R1.fastq.gz	S0231.R2.fastq.gz				
SRR12538704	SRP279131	new	PRJNA659851	SAMN15928671	S0233	BGT_GA03_GP13_110	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0233.R1.fastq.gz	S0233.R2.fastq.gz				
SRR12538703	SRP279131	new	PRJNA659851	SAMN15928672	S0234	BGT_GA03_GP13_111	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0234.R1.fastq.gz	S0234.R2.fastq.gz				
SRR12538702	SRP279131	new	PRJNA659851	SAMN15928673	S0235	BGT_GA03_GP13_112	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0235.R1.fastq.gz	S0235.R2.fastq.gz				
SRR12538701	SRP279131	new	PRJNA659851	SAMN15928674	S0236	BGT_GA03_GP13_113	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0236.R1.fastq.gz	S0236.R2.fastq.gz				
SRR12538700	SRP279131	new	PRJNA659851	SAMN15928675	S0237	BGT_GA03_GP13_114	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0237.R1.fastq.gz	S0237.R2.fastq.gz				
SRR12538699	SRP279131	new	PRJNA659851	SAMN15928676	S0238	BGT_GA03_GP13_115	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0238.R1.fastq.gz	S0238.R2.fastq.gz				
SRR12538698	SRP279131	new	PRJNA659851	SAMN15928677	S0239	BGT_GA03_GP13_116	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0239.R1.fastq.gz	S0239.R2.fastq.gz				
SRR12538697	SRP279131	new	PRJNA659851	SAMN15928678	S0240	BGT_GA03_GP13_117	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0240.R1.fastq.gz	S0240.R2.fastq.gz				
SRR12538696	SRP279131	new	PRJNA659851	SAMN15928679	S0242	BGT_GA03_GP13_118	SSU rRNA amplicon sequencing of mixed natural samples : Seawater samples from GEOTRACES GA03 section	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	Whole-community (>0.2uM) seawater samples were amplified with 515Y/926R primers using PCR primers that contained Illumina adapters/barcodes. Resulting data includes both 16S and 18S sequences, which should be separated bioinformatically prior to ASV/OTU analysis. Data here has been demultiplexed allowing no mismatches to the Illumina reverse index (bcl2fastq) and the forward barcode (cutadapt).	fastq	S0242.R1.fastq.gz	S0242.R2.fastq.gz				
